rs_sv_chem_l;rs_sv_tronc_l
2174213;3042
2174337;3042
2174345;3042
2174342;4917
2174337;4914
2174312;9466
2174236;233
2174110;3929
2174145;3929
2174146;3929
2174361;3929
2174430;3929
2174369;13105
2174106;2842
2174111;3008
2174361;4918
2174393;2921
2174395;2921
2174401;2921
2174428;2921
2174430;2921
2174397;2607
2174428;2607
2174259;4615
2174416;4615
2174416;2370
2174455;2370
2174458;2370
2174462;2370
2174464;2370
2173491;3965
2174214;3965
2174311;3965
2173380;4720
2173796;907
2173828;9944
2173920;6539
2173564;4497
2173707;4497
2173497;13500
2173577;350
2173580;350
2173581;350
2173582;350
2173584;350
2173496;3206
2173781;4396
2173810;4393
2173808;4694
2173680;4240
2173690;4047
2173691;4047
2174288;4047
2174292;4047
2174311;4047
2173780;2769
2173780;3871
2173832;3871
2173805;3150
2173824;4420
2173824;7040
2173879;4435
2173858;10863
2173860;10863
2173857;6902
2173859;6902
2173737;1816
2173738;1816
2173381;4463
2173376;2752
2174265;4464
2174456;4464
2174460;4464
2173804;4460
2173377;4449
2173803;4449
2174265;2374
2173380;4635
2173381;4635
2174424;627
2174450;627
2173497;641
2173439;608
2173981;608
2173496;687
2173406;915
2173707;915
2174215;915
2174314;14257
2173446;143
2173492;143
2173710;143
2174237;143
2174338;143
2174295;14256
2174296;14256
2173526;367
2173529;4474
2173523;4472
2173522;3932
2173523;3932
2173525;3932
2173526;3932
2173527;4521
2173529;4521
2173808;3661
2173809;6926
2173465;13186
2173795;6792
2173796;6792
2173799;3396
2173748;1372
2173496;3993
2173560;3993
2173561;3993
2173564;3993
2173804;2391
2173899;2448
2174275;10471
2173902;6959
2173902;4505
2173634;2133
2174184;978
2174185;978
2174435;978
2173856;3761
2173580;119
2173581;119
2173589;119
2173989;119
2173560;1801
2173562;1801
2173565;1801
2174141;1801
2173514;3830
2173503;2208
2173507;2208
2173516;203
2173517;203
2173532;1792
2174045;13810
2173878;3558
2173874;3564
2173465;11285
2173496;11285
2173896;529
2173866;2447
2173868;2447
2173376;2593
2173377;2593
2174442;14289
2174443;14289
2173646;3797
2173649;3797
2173525;1031
2173529;4542
2173530;4542
2173534;4542
2173521;4537
2173525;4537
2173853;4537
2173529;4538
2173530;4538
2173534;4538
2173851;4538
2173852;4538
2173521;4539
2173525;4539
2173526;4539
2173527;4313
2173529;4313
2173533;4313
2173534;4313
2173407;4544
2173903;7005
2174365;347
2173810;6835
2173902;6835
2173808;8742
2173783;4097
2173828;9947
2173497;241
2173492;13231
2174311;4366
2174397;14286
2174430;14286
2174252;1964
2174387;1964
2174403;1964
2174405;1964
2174354;2908
2174359;2908
2174366;2908
2174397;2908
2174416;2908
2174430;2908
2174287;14089
2174312;14089
2174244;3188
2174391;5280
2174393;5280
2173874;2929
2173565;1826
2173584;6807
2173565;6814
2173787;6764
2173788;6764
2173789;6764
2173791;7009
2173791;1827
2173792;1827
2173785;11385
2173787;11385
2173788;11385
2173789;11385
2173791;12154
2173792;12154
2173734;2407
2173735;2407
2173736;2959
2173526;3305
2174192;975
2173496;7729
2173497;7729
2173492;2970
2173491;3053
2173484;752
2173486;752
2173672;752
2173675;752
2174337;752
2174339;2980
2174348;2821
2174212;1971
2174216;1971
2174313;1971
2174327;1971
2174331;1971
2174336;1971
2174347;1971
2173886;7425
2173807;3895
2173610;348
2173778;348
2174270;4814
2174295;4814
2174303;4814
2174334;4814
2174216;3205
2174336;3205
2174337;3205
2173463;4124
2173383;6758
2174062;2838
2174354;4886
2174356;4886
2174362;4909
2174364;4909
2173472;4660
2174305;14092
2173507;2843
2174105;2843
2174135;2843
2174138;2843
2174139;2843
2174146;2843
2174440;2843
2173892;4687
2173893;4687
2173899;4288
2174334;2849
2174335;2849
2174062;3012
2174103;3012
2174105;3012
2174324;3012
2173472;3739
2173801;12542
2174212;3194
2174271;3194
2174312;3194
2174313;3194
2174331;3194
2174341;3194
2174345;3194
2174457;626
2173491;1086
2173492;1086
2173425;2112
2173616;3050
2173619;3050
2173425;3047
2173497;2968
2173807;2003
2173808;2003
2173902;3657
2173788;815
2173414;1706
2173843;1706
2173849;179
2173417;3065
2173422;3065
2173414;3061
2173417;3068
2173846;3068
2173411;3064
2173417;1314
2173422;1314
2173846;1314
2173411;1201
2173843;801
2173846;4334
2173786;1738
2173790;3298
2173791;3298
2173793;1579
2173786;1584
2173788;1584
2173411;3595
2173422;2686
2173411;3077
2173412;3077
2173414;3077
2173862;1682
2173859;8281
2173862;3903
2173859;3087
2173860;3087
2173859;3089
2173860;3089
2173862;3086
2173860;1607
2173581;1758
2173562;3717
2173565;3717
2173636;3483
2173638;3483
2173803;3109
2173805;3152
2173806;3152
2173780;1690
2173800;1014
2173633;4008
2173635;4008
2173636;4008
2173637;4008
2173896;4008
2173645;3235
2173646;3235
2173648;3235
2173635;3112
2173637;3112
2173896;3112
2173865;867
2173454;4045
2174244;4045
2173806;3125
2173806;3129
2173804;3126
2173879;813
2173440;4522
2173441;4522
2174288;14088
2173878;8765
2174322;4801
2174295;14297
2174296;14297
2174367;501
2173447;3565
2174357;3565
2174367;3565
2174365;3567
2173981;3734
2174105;9789
2174395;10084
2174439;10084
2174215;4030
2174235;4030
2174312;4030
2174314;4030
2173496;1965
2174325;1965
2174336;1965
2173605;1464
2173610;3618
2173795;2760
2173646;4330
2174439;14263
2174354;3876
2173560;460
2173575;4364
2173577;4364
2173581;4364
2173710;4364
2173748;4689
2173802;3867
2173890;3867
2173801;9143
2173411;1751
2173412;1751
2173414;1751
2173417;1331
2173418;1331
2173420;1331
2173417;3079
2173420;3079
2173412;1739
2173414;1739
2173417;3601
2173418;3601
2173420;3601
2173411;3597
2173414;3597
2173516;4569
2173517;4569
2174174;4569
2174177;4569
2174442;4569
2174108;3155
2173803;1693
2173804;1693
2173795;10482
2173796;10482
2173797;10482
2173799;3612
2173800;3612
2173807;1038
2173798;616
2173896;4305
2173610;4213
2173610;11566
2174109;7393
2174177;7393
2174182;7393
2174189;7393
2173623;8151
2173799;8151
2173491;2630
2173465;48
2173496;48
2173748;2625
2173749;2625
2173455;4756
2173492;4756
2173742;3641
2173743;3641
2173492;3763
2173749;4125
2173798;4723
2173799;4723
2173810;2658
2173807;6976
2173808;2756
2173428;3916
2173810;3216
2173809;6941
2173808;3217
2173881;2299
2173776;4482
2173809;4482
2173902;4482
2173769;3660
2173770;3660
2173808;3054
2173902;4346
2173879;5723
2173875;1618
2173879;3667
2173902;2161
2173904;2161
2173905;3676
2173905;4147
2173902;3674
2173503;3697
2173589;3697
2173398;2175
2173411;3687
2173596;3463
2173873;3478
2173793;1138
2173794;1138
2173784;6763
2173581;3710
2173829;4603
2173560;3698
2173562;3698
2173581;3062
2173584;3299
2173565;1466
2173617;12069
2174354;4765
2173479;4770
2174362;503
2174396;10301
2173484;9922
2173565;1757
2173562;3709
2173802;12540
2173472;3037
2173565;12968
2173468;3033
2173470;3033
2173470;3738
2173455;6755
2173562;8985
2173563;8985
2173577;7
2173580;7
2173507;1062
2173688;1062
2173690;1062
2173680;1830
2174072;4866
2174090;4866
2174141;4866
2174142;4866
2173546;2083
2174077;4863
2174106;4863
2174108;4863
2174179;4560
2174283;4560
2173503;2887
2173520;2887
2173526;2887
2174141;2887
2174142;2887
2174143;2887
2173496;3640
2173796;7049
2174176;3779
2174189;3779
2174190;3779
2174192;3779
2174183;4873
2174080;4885
2174102;4885
2174143;3167
2174145;3167
2174060;4831
2174183;12426
2174190;12426
2174193;12426
2173840;2061
2173371;5422
2173989;5422
2174078;1208
2174082;1208
2174102;1208
2174104;1208
2174145;1208
2173882;108
2173801;1628
2173645;208
2173646;208
2173649;208
2173650;208
2173633;3102
2173635;3102
2173801;3806
2173748;3827
2173748;4134
2173491;2353
2173497;3815
2173496;6969
2173497;6969
2173516;2892
2173503;4520
2173517;4516
2173646;3935
2173647;3935
2173635;3554
2173636;3554
2173737;3907
2173804;1276
2174243;2690
2174360;2690
2174361;2690
2174425;2690
2173523;1063
2173529;839
2173530;839
2173533;839
2173534;839
2173735;3838
2173890;270
2173867;4648
2173868;4648
2173869;4651
2173870;4651
2174251;4053
2173890;3858
2174244;3980
2174395;11515
2174428;11515
2174430;11515
2174396;4898
2174411;4898
2174435;4898
2173891;3860
2173802;1814
2173779;3845
2173832;3917
2173831;4784
2173780;970
2173832;970
2173888;6759
2174357;2765
2174362;2770
2174365;2770
2173840;11292
2173810;2988
2174436;14252
2174182;12427
2173784;10546
2173785;10546
2173787;10546
2173788;10546
2173861;6801
2173858;3085
2173860;3085
2173870;485
2173617;747
2173619;747
2173867;747
2173736;2961
2173832;12218
2173779;3870
2173550;1887
2173527;4477
2173532;4477
2173534;4477
2173989;12846
2173867;2438
2174094;3930
2174107;4919
2174111;4919
2174369;4919
2174186;8222
2174283;8222
2174435;8222
2174095;3925
2174107;3925
2174185;3925
2174186;3925
2174279;3925
2174283;3925
2174436;3925
2174102;4861
2174103;4861
2174275;4861
2174361;4861
2174430;4861
2173965;12929
2173522;2962
2173526;2962
2173645;2787
2174143;12432
2173562;4563
2173565;4563
2173796;4721
2173797;4721
2173542;3528
2173411;4054
2173537;4054
2173835;4054
2173596;3882
2173590;3880
2173849;1745
2173530;6782
2174296;11162
2174297;11162
2174298;11162
2173876;3363
2173878;3363
2173472;4209
2173610;4209
2174099;4226
2174183;4226
2174193;4226
2173605;4217
2173742;442
2173398;2646
2174311;2646
2174335;2646
2173979;3538
2174365;3538
2174396;3538
